frame,time_s,faces,emotions,activity,motion_score,motion_z,anomaly
145,4.833,3,unknown|unknown|unknown,parado,3.007035,-0.7789,0
146,4.867,3,unknown|unknown|unknown,parado,0.108823,-2.1703,0
147,4.9,3,unknown|unknown|unknown,parado,2.927195,-0.7999,0
148,4.933,3,unknown|unknown|unknown,parado,2.960663,-0.7673,0
149,4.967,3,unknown|unknown|unknown,parado,2.645798,-0.8998,0
150,5.0,3,unknown|unknown|unknown,parado,2.634725,-0.8865,0
151,5.033,2,unknown|unknown,parado,2.783123,-0.7994,0
152,5.067,3,unknown|unknown|unknown,parado,0.432658,-1.9215,0
153,5.1,3,unknown|unknown|unknown,parado,3.033143,-0.6701,0
154,5.133,2,unknown|unknown,parado,3.308576,-0.5298,0
155,5.167,2,unknown|unknown,parado,2.787752,-0.7623,0
156,5.2,2,unknown|unknown,parado,2.318904,-0.9652,0
157,5.233,2,unknown|unknown,parado,2.090257,-1.0513,0
158,5.267,2,unknown|unknown,parado,0.181242,-1.9474,0
159,5.3,2,unknown|unknown,parado,2.133134,-1.0126,0
160,5.333,3,unknown|unknown|unknown,parado,2.061782,-1.0244,0
161,5.367,3,unknown|unknown|unknown,parado,1.775731,-1.133,0
162,5.4,3,unknown|unknown|unknown,parado,1.647041,-1.166,0
163,5.433,3,unknown|unknown|unknown,parado,1.690027,-1.1216,0
164,5.467,3,unknown|unknown|unknown,parado,0.191442,-1.7998,0
165,5.5,2,unknown|unknown,parado,2.206711,-0.8642,0
166,5.533,2,unknown|unknown,parado,1.615549,-1.1079,0
167,5.567,2,unknown|unknown,parado,1.495009,-1.1373,0
168,5.6,2,unknown|unknown,parado,1.522666,-1.1008,0
169,5.633,2,unknown|unknown,parado,1.534532,-1.0722,0
170,5.667,2,unknown|unknown,parado,0.095321,-1.7101,0
171,5.7,2,unknown|unknown,parado,1.096259,-1.2366,0
172,5.733,2,unknown|unknown,parado,0.947656,-1.2719,0
173,5.767,2,unknown|unknown,parado,1.008431,-1.2172,0
174,5.8,2,unknown|unknown,parado,1.298116,-1.0679,0
175,5.833,2,unknown|unknown,parado,1.520816,-0.9504,0
176,5.867,2,unknown|unknown,parado,0.13884,-1.544,0
177,5.9,2,unknown|unknown,parado,1.65218,-0.8722,0
178,5.933,2,unknown|unknown,parado,1.513101,-0.9119,0
179,5.967,2,unknown|unknown,parado,1.224452,-1.0133,0
180,6.0,2,unknown|unknown,parado,0.974541,-1.0958,0
181,6.033,1,unknown,movimento_brusco,68.444244,8.9284,1
182,6.067,1,unknown,parado,0.074261,-0.5776,0
183,6.1,0,,movimento,10.130993,0.8102,0
184,6.133,1,unknown,movimento,13.11042,1.201,0
185,6.167,0,,movimento,13.480471,1.2289,0
186,6.2,1,unknown,movimento,14.295511,1.3134,0
187,6.233,1,unknown,movimento,12.732535,1.0843,0
188,6.267,1,unknown,parado,0.256119,-0.5885,0
189,6.3,1,unknown,movimento,12.608487,1.0504,0
190,6.333,1,unknown,movimento,11.079322,0.8353,0
191,6.367,1,unknown,movimento,9.641134,0.6365,0
192,6.4,1,unknown,movimento,10.168171,0.6975,0
193,6.433,1,unknown,movimento,10.422215,0.7224,0
194,6.467,1,unknown,parado,0.006903,-0.649,0
195,6.5,1,unknown,movimento,12.250831,0.949,0
196,6.533,0,,movimento,10.687042,0.735,0
197,6.567,1,unknown,movimento,9.516168,0.5759,0
198,6.6,1,unknown,movimento,11.573488,0.8329,0
